search_keyword,title,company,location,salary_min,salary_max,category,created,description,redirect_url,combined_text,extracted_skills
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",78604.81,78604.81,IT Jobs,2026-07-25 18:26:36+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of business objectives. Trains and develops junior analysts. Analyzes data, assesses trends and develops actionable insights and recommendations in support of business objectives. Trains and develops junior analysts. Core Responsibilities 1. Engages with internal partners to understand business strate…",https://www.adzuna.com/land/ad/5815857556?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=D1B192A8A2562D6C2ADF53687F23B8524E1D0C3B,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of business objectives. Trains and develops junior analysts. Analyzes data, assesses trends and develops actionable insights and recommendations in support of business objectives. Trains and develops junior analysts. Core Responsibilities 1. Engages with internal partners to understand business strate… IT Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Dallas, Texas",86223.12,86223.12,IT Jobs,2026-08-07 19:03:58+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Data Analyst, Specialist will join the Executive Analytics team supporting Wealth Management leadership through data-driven insights, executive reporting, and strategic analysis. This role partners closely with senior leaders, the Office of the Chief of Staff, digital teams, and business stakeholders to deliver actionable insights that support business performance and decision-making. The a…",https://www.adzuna.com/land/ad/5832595587?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=AF48EF5A86BC68C537E42EAF0FD93CFC620E3F34,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Data Analyst, Specialist will join the Executive Analytics team supporting Wealth Management leadership through data-driven insights, executive reporting, and strategic analysis. This role partners closely with senior leaders, the Office of the Chief of Staff, digital teams, and business stakeholders to deliver actionable insights that support business performance and decision-making. The a… IT Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",83889.32,83889.32,IT Jobs,2026-07-06 11:33:04+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Personal Investor (PI) Distribution is responsible for converting Vanguard’s Personal Investor strategy into growth outcomes by acquiring clients, deepening relationships, and retaining and growing assets. As part of the PI Distribution Analytics team, you will provide actionable insights and scalable analytics that enable Personal Investor Distribution to drive growth, improve client experienc…",https://www.adzuna.com/land/ad/5789985328?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=BCEF858D53F4B5CC933D7464E2F2152D908DC715,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Personal Investor (PI) Distribution is responsible for converting Vanguard’s Personal Investor strategy into growth outcomes by acquiring clients, deepening relationships, and retaining and growing assets. As part of the PI Distribution Analytics team, you will provide actionable insights and scalable analytics that enable Personal Investor Distribution to drive growth, improve client experienc… IT Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",70474.47,70474.47,IT Jobs,2026-07-29 18:49:11+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. Role Summary The Data Analyst, Senior Specialist is responsible in driving data-driven decision-making across the organization by leading c…",https://www.adzuna.com/land/ad/5820379088?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=BA5B52C6B4E55F665FAA373BB30E4D743DBE3F66,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. Role Summary The Data Analyst, Senior Specialist is responsible in driving data-driven decision-making across the organization by leading c… IT Jobs",[]
data analyst,Principal Data Analyst,Oracle,US,133450.77,133450.77,Consultancy Jobs,2026-08-09 06:57:55+00:00,"hackajob is collaborating with Oracle to connect them with exceptional professionals for this role. Description It's an exciting time to join Oracle Health! Our Government Services team is hiring a Principal Data Analyst, where you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. In this role, some of your responsibilities will include to compile complex data sets from various…",https://www.adzuna.com/land/ad/5834593848?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=9097323ADC964714CE5F1E3D96E205E8744180D4,"Principal Data Analyst hackajob is collaborating with Oracle to connect them with exceptional professionals for this role. Description It's an exciting time to join Oracle Health! Our Government Services team is hiring a Principal Data Analyst, where you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. In this role, some of your responsibilities will include to compile complex data sets from various… Consultancy Jobs",[]
data analyst,Senior Data Analyst,Transunion,"Chicago, Cook County",95487.0,95487.0,IT Jobs,2026-08-06 19:00:11+00:00,"hackajob is collaborating with TransUnion to connect them with exceptional professionals for this role. TransUnion's Job Applicant Privacy Notice Personal Information We Collect Your Privacy Choices Team Overview The Senior Data Analyst will report into a Senior Manager of Data Science & Analytics. As part of the Data Analytics Team, you will help with development of TransUnion’s IP Geolocation technology. This position requires a understanding IP network topology. You will be working with othe…",https://www.adzuna.com/land/ad/5831197638?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=17815E260672EE9629388C39F8430F6415A8B92E,"Senior Data Analyst hackajob is collaborating with TransUnion to connect them with exceptional professionals for this role. TransUnion's Job Applicant Privacy Notice Personal Information We Collect Your Privacy Choices Team Overview The Senior Data Analyst will report into a Senior Manager of Data Science & Analytics. As part of the Data Analytics Team, you will help with development of TransUnion’s IP Geolocation technology. This position requires a understanding IP network topology. You will be working with othe… IT Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",76658.02,76658.02,IT Jobs,2026-07-19 04:52:16+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. PW Growth Strategy Analytics is growing! We’re opening a new role to support some of the most important questions facing the Personal Wealt…",https://www.adzuna.com/land/ad/5806988189?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=482C6D99D5ABDB4DC7EAAD7486B617831E809077,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. PW Growth Strategy Analytics is growing! We’re opening a new role to support some of the most important questions facing the Personal Wealt… IT Jobs",[]
data analyst,Marketing Data Analyst,Transunion,"Chicago, Cook County",90916.08,90916.08,Accounting & Finance Jobs,2026-07-30 18:49:20+00:00,"hackajob is collaborating with TransUnion to connect them with exceptional professionals for this role. TransUnion's Job Applicant Privacy Notice Personal Information We Collect Your Privacy Choices Team Overview team focused on helping clients maximize the value of their marketing investments through data-driven measurement and analytics solutions. The team partners closely with leading brands, agencies, and internal stakeholders to design, implement, and optimize Multi-Touch Attribution (MTA)…",https://www.adzuna.com/land/ad/5821666321?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=0788EEEB38F6AD1AD02CBBB63C1936D893B276D2,"Marketing Data Analyst hackajob is collaborating with TransUnion to connect them with exceptional professionals for this role. TransUnion's Job Applicant Privacy Notice Personal Information We Collect Your Privacy Choices Team Overview team focused on helping clients maximize the value of their marketing investments through data-driven measurement and analytics solutions. The team partners closely with leading brands, agencies, and internal stakeholders to design, implement, and optimize Multi-Touch Attribution (MTA)… Accounting & Finance Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",81335.77,81335.77,IT Jobs,2026-07-21 15:12:31+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Advice and Wealth Management (AWM) Analytics team is seeking an analyst to play an important role supporting the Personal Wealth Marketing team and enabling growth through data-driven strategy. Our work includes data preparation and transformation, discovery analysis, experimental design, campaign measurement, dashboard development, and strategic recommendations sourced from the data. The r…",https://www.adzuna.com/land/ad/5809620931?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=593027D0D281D96258C5CF9410D0179B9488CCB6,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Advice and Wealth Management (AWM) Analytics team is seeking an analyst to play an important role supporting the Personal Wealth Marketing team and enabling growth through data-driven strategy. Our work includes data preparation and transformation, discovery analysis, experimental design, campaign measurement, dashboard development, and strategic recommendations sourced from the data. The r… IT Jobs",['r']
data analyst,Data Analyst,Norlox Solutions LLC,"Alpharetta, Fulton County",68597.35,68597.35,IT Jobs,2026-08-11 05:55:47+00:00,"Job Title: Data Analyst Location: Alpharetta, GA Job Type: Only W2 Job Description: · Collect, clean, and validate data from multiple sources. · Analyze large datasets to identify trends, patterns, and business insights. · Develop and maintain dashboards, reports, and visualizations using tools such as Power BI, Tableau, or Excel. · Write and optimize SQL queries to extract and manipulate data. · Collaborate with business stakeholders to understand reporting requirements. · Monitor key performa…",https://www.adzuna.com/land/ad/5836544710?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=255E6E6B6943F623FC2791BAEA31E5453A5DF35C,"Data Analyst Job Title: Data Analyst Location: Alpharetta, GA Job Type: Only W2 Job Description: · Collect, clean, and validate data from multiple sources. · Analyze large datasets to identify trends, patterns, and business insights. · Develop and maintain dashboards, reports, and visualizations using tools such as Power BI, Tableau, or Excel. · Write and optimize SQL queries to extract and manipulate data. · Collaborate with business stakeholders to understand reporting requirements. · Monitor key performa… IT Jobs","['sql', 'excel', 'tableau', 'power bi']"
data analyst,Data Analyst,Uline,"Pleasant Prairie, Kenosha County",87959.53,87959.53,IT Jobs,2026-08-11 05:57:53+00:00,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 Ready to make a real impact? Join Uline as a Data Analyst to be a driver of operational excellence. From searching for improvements regarding manual processes to thinking critically about various issues, your skills will help shape our growing company's future! Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your career with stability you can count on. Position Respons…",https://www.adzuna.com/land/ad/5836555777?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=BDD4D4F4A69C267B76FA11E86541618DDD4FB964,"Data Analyst Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 Ready to make a real impact? Join Uline as a Data Analyst to be a driver of operational excellence. From searching for improvements regarding manual processes to thinking critically about various issues, your skills will help shape our growing company's future! Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your career with stability you can count on. Position Respons… IT Jobs",[]
